time,label,F0,F1,F2,F3,set,word
1.422263038548751,CURE_your:1,132.1123761142259,289.70318484769444,1867.695034938268,2546.9520263588065,CURE,your
1.5942630385487508,CURE_your:2,129.8990589547891,548.4560263154777,794.2724362788261,2666.703219348617,CURE,your
2.4442630385487507,GOAT_home:1,127.13978357818216,412.3617671136662,782.9443719553415,2420.6207770608844,GOAT,home
2.596263038548751,GOAT_home:2,138.89140080423945,261.8099527266533,1062.7378036902671,2807.500255736758,GOAT,home
3.4682630385487507,DRESS_dress,131.45335643939893,630.2967386131982,1602.5386477693924,2034.7768977743485,DRESS,dress
4.606929705215418,2COMMA_comma,148.39908861453014,715.4898783244568,1365.5359425359234,3060.86150786214,COMMA,comma
5.673596371882084,2HAPPY_coffee,132.35774157690872,392.26220456879935,2555.0403503340385,3053.542987203716,HAPPY,coffee
6.540263038548751,PRICE_try:1,122.70975893766543,699.2256305484872,1098.8720900270662,2109.6312092879884,PRICE,try
6.6762630385487505,PRICE_try:2,119.35364375051539,598.9677532246118,1811.0244627230497,2780.137140027827,PRICE,try
7.604263038548751,START_start,118.35923995355051,730.9926829848713,1239.7971770642225,2358.8352268351373,START,start
8.680263038548752,FORCE_door,114.85827490248002,595.5754404139208,894.2196332311673,2218.4338391258793,FORCE,door
9.904263038548752,TRAP_bad,114.68887152945578,763.4031640710342,1057.9988162292166,1707.2215435194312,TRAP,bad
10.94026303854875,CURE_cure:1,118.04303927021449,562.2662156054936,1317.3546588055851,2179.11114854111,CURE,cure
11.07626303854875,CURE_cure:2,134.51347799434393,564.9625043030546,806.164098882644,2858.710718562057,CURE,cure
12.032263038548752,KIT_ship,173.78735340869042,514.3831322539439,1721.3231635330108,2812.5207478146904,KIT,ship
13.03226303854875,CHOICE_coin:1,128.35090504690118,522.1838489682962,777.8243607165037,2642.0680866609327,CHOICE,coin
13.19226303854875,CHOICE_coin:2,137.94405916928872,302.48139646814764,1441.1364258749522,2486.9478173856796,CHOICE,coin
14.10626303854875,FACE_day:1,128.88933722617085,426.1754470565349,2280.6569694794057,2815.559442416298,FACE,day
14.222263038548752,FACE_day:2,145.91485054445604,441.1252084491959,2361.7391182662673,2903.9172783690506,FACE,day
15.20826303854875,KIT_kit,164.69500106857276,478.5171468772578,1863.5074306728538,2704.8093000372946,KIT,kit
16.26026303854875,BATH_dance,138.17514502784272,743.0177499202166,1403.0915758226809,2810.374203537662,BATH,dance
17.20826303854875,MOUTH_mouth:1,129.47884240016154,696.216147833994,1280.742145530325,2737.79490678333,MOUTH,mouth
17.32026303854875,MOUTH_mouth:2,133.81611775145115,630.1015697057933,1000.744521524394,2881.3894249937357,MOUTH,mouth
18.39826303854875,CURE_sure:1,126.85551794791546,569.7781661334418,1063.1989816721868,2219.1448894209543,CURE,sure
18.506263038548752,CURE_sure:2,130.32510151529738,528.253349996173,802.8540696069675,2527.6034930640617,CURE,sure
19.532263038548752,NURSE_term,138.0144237351461,654.5488703376728,1261.6501925580217,2994.309671624461,NURSE,term
20.524263038548753,PRICE_price:1,140.02467689267726,628.4866914236673,1322.4565946004295,1768.3445085769022,PRICE,price
20.61226303854875,PRICE_price:2,144.69098397422687,453.0957084273173,1913.1923771970792,2936.5209267414616,PRICE,price
21.63226303854875,CHOICE_join:1,131.91583300483657,525.4120259194455,885.0017128247221,2090.360033999053,CHOICE,join
21.776263038548752,CHOICE_join:2,139.61765081680426,333.2240075132523,2159.3850644039653,3108.012058421845,CHOICE,join
22.832263038548753,FLEECE_bleed,136.3690780297963,401.5085672816745,2059.5281029834105,2638.384336404482,FLEECE,bleed
23.84826303854875,DRESS_wet,129.04369675701622,611.7621373045149,1681.7698968566528,2548.5093646425676,DRESS,wet
25.012263038548753,LOT_dot,129.55076982452934,705.4063206461943,1048.3085483519847,2638.6246427371825,LOT,dot
26.064263038548752,NEAR_fear:1,133.369129161531,416.4159900004457,2067.3295632019936,2713.942355198265,NEAR,fear
26.14426303854875,NEAR_fear:2,138.91707933599184,591.9927980629981,1647.655891294635,2716.7332690930734,NEAR,fear
27.048263038548754,STRUT_cup,171.35752067224163,709.8994514010402,1164.3277934978282,2893.1543616278136,STRUT,cup
28.148263038548752,TRAP_tap,141.5546035957392,763.1301777628258,1669.1743696655838,2752.1385056612003,TRAP,tap
29.15026303854875,FACE_bait:1,135.13071483510836,376.96134013067257,1740.6418020569101,3017.744175392415,FACE,bait
29.242263038548753,FACE_bait:2,147.1730297621513,432.8532030735019,2601.5532995584235,3030.710207370875,FACE,bait
30.30026303854875,START_far,125.52611562139337,768.9490535869218,1030.7137442216967,2801.7665653292834,START,far
31.39226303854875,TRAP_cat,163.23718113640646,824.0399470333548,1595.349659152243,2817.624169283216,TRAP,cat
32.52292970521542,2LETTER_letter,145.1368515221423,540.1992686062748,1605.1147932450642,2705.0228677062196,LETTER,letter
33.47626303854875,FOOT_put,166.54769780831006,489.239143830878,1361.6992258175176,3034.1946279997187,FOOT,put
34.548263038548754,NORTH_war,131.0472323858267,532.1786866000691,794.672953607744,2817.135105096487,NORTH,war
35.53226303854875,LOT_got,146.56822798664436,717.5655293206238,1036.2000489941418,2683.068877653105,LOT,got
36.59226303854875,NURSE_hurt,136.20234730841312,533.1930982311571,1389.873588939205,2904.036460983951,NURSE,hurt
37.66026303854875,NEAR_here:1,147.29784600610327,440.86738842429264,1844.3298661892622,2522.7120965105632,NEAR,here
37.74826303854876,NEAR_here:2,155.1010478197357,591.9293714169809,1358.8251360278819,1569.536098024032,NEAR,here
38.76026303854875,NORTH_north,128.35602856439888,511.40933554383014,859.5315358978908,2756.1869150399184,NORTH,north
39.81626303854875,CHOICE_choice:1,141.24398177011417,520.0566045497051,984.1985995852547,2319.1173346064024,CHOICE,choice
39.89626303854875,CHOICE_choice:2,150.534789009812,468.5276240694734,1690.6317572924995,2680.210265495312,CHOICE,choice
40.86026303854875,FACE_face:1,132.57729790236013,436.0286980891206,1900.340960823705,2704.0695781906716,FACE,face
40.94826303854875,FACE_face:2,142.16801757255942,419.6293710954839,2164.161306282975,2757.897840588777,FACE,face
41.98026303854875,SQUARE_care:1,140.04043022849999,542.9892946260329,1929.345331053435,2866.991521890748,SQUARE,care
42.084263038548755,SQUARE_care:2,153.00733898101367,663.4792788829288,1993.836819771207,2953.6511764256547,SQUARE,care
43.13626303854875,STRUT_trunk,130.70806835681253,704.6268448184592,1236.5105734582185,2245.2064623277756,STRUT,trunk
44.22826303854875,MOUTH_out:1,134.42113058492524,778.4976672850196,1233.7980826633536,2877.0138639393626,MOUTH,out
44.316263038548755,MOUTH_out:2,145.12417956523842,443.97036243220003,907.0402453864305,2350.85861403334,MOUTH,out
45.49226303854876,2COMMA_quota,151.3104665938235,663.2455655957002,1517.2089751467074,2820.514206804317,COMMA,quota
46.40026303854875,SQUARE_air:1,138.76286023028004,562.5266357155785,2006.7112232142179,2768.9162989279093,SQUARE,air
46.52826303854875,SQUARE_air:2,148.2524233371354,609.6926873006856,2058.841671174237,2862.3592019509197,SQUARE,air
47.58026303854875,NORTH_born,129.7234649085675,594.0688263948317,885.770851312291,2890.306393200619,NORTH,born
48.53226303854875,START_heart,136.79937285666645,739.776117522931,1267.6559918992061,2766.3033317411946,START,heart
49.63226303854875,PALM_spa,131.03711227587348,717.3685321939207,1261.9111607094715,2725.358770750496,PALM,spa
50.90426303854875,NORTH_storm,138.5609349343479,599.5466775558341,796.1331954445517,2833.0892566984826,NORTH,storm
51.88826303854876,TRAP_trap,155.9478502190252,747.2585280517596,1594.3511881416753,2619.356872342047,TRAP,trap
52.94026303854875,FOOT_foot,177.01094520214352,521.8899914258348,1266.0912137648443,2913.64841044849,FOOT,foot
54.04426303854875,STRUT_strut,152.02600956520925,691.758380040019,1361.8065386453509,3059.2863726903292,STRUT,strut
55.349596371882086,2LETTER_butter,173.4370351890047,634.185349281882,1515.4665157416086,2881.543159292484,LETTER,butter
56.292263038548754,FLEECE_beat,147.90417748062427,322.39864074272765,2549.5439494412317,3235.1065064181544,FLEECE,beat
57.38826303854875,FLEECE_speak,162.6512891940916,338.0760586887265,2141.4377040434656,2966.393832098978,FLEECE,speak
58.39426303854875,PRICE_hide:1,128.9678269247224,763.6286239429533,1578.8658031730401,2572.5111088914946,PRICE,hide
58.51026303854875,PRICE_hide:2,135.23321068392832,403.2759575470557,2168.1548851036105,2803.8793517583035,PRICE,hide
59.44626303854875,PRICE_buy:1,126.60497305539793,654.000149735988,1010.1436309389377,2662.3628245003347,PRICE,buy
59.602263038548756,PRICE_buy:2,135.42071288076818,563.3781789838479,1936.2805819043363,2794.878507660084,PRICE,buy
60.532263038548756,SQUARE_fair:1,130.25884640367835,557.4099939064519,1547.4012565026412,2095.2629550938696,SQUARE,fair
60.65226303854875,SQUARE_fair:2,130.62816289035368,588.2378886453523,2122.5900602121906,2889.6137314008697,SQUARE,fair
